player_id,player,recent_team,week,completions,attempts,passing_yards,passing_tds,interception,position,season,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,team,player_name,player_display_name,fantasy_points_ppr,fantasy_points,points
00-0033106,J.Goff,DET,1,31.0,43.0,225.0,1.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,J.Goff,J.Goff,13.0,13.0,13.0
00-0033106,J.Goff,DET,2,23.0,28.0,334.0,5.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,J.Goff,J.Goff,33.36,33.36,33.36
00-0033106,J.Goff,DET,3,20.0,28.0,202.0,1.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,J.Goff,J.Goff,12.08,12.08,12.08
00-0033106,J.Goff,DET,4,16.0,27.0,168.0,2.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,J.Goff,J.Goff,14.719999,14.719999,14.719999
00-0033106,J.Goff,DET,5,19.0,27.0,258.0,3.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,J.Goff,J.Goff,22.32,22.32,22.32
00-0033106,J.Goff,DET,6,23.0,30.0,203.0,2.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,J.Goff,J.Goff,16.119999,16.119999,16.119999
00-0033106,J.Goff,DET,7,20.0,33.0,241.0,1.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,J.Goff,J.Goff,13.639999,13.639999,13.639999
00-0033106,J.Goff,DET,9,25.0,42.0,284.0,2.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,J.Goff,J.Goff,19.36,19.36,19.36
00-0033106,J.Goff,DET,10,25.0,33.0,320.0,3.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,J.Goff,J.Goff,24.8,24.8,24.8
00-0033106,J.Goff,DET,11,14.0,39.0,255.0,1.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,J.Goff,J.Goff,14.2,14.2,14.2
00-0033106,J.Goff,DET,12,28.0,43.0,279.0,2.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,J.Goff,J.Goff,19.16,19.16,19.16
00-0033119,J.Brissett,ARI,5,0.0,1.0,0.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,J.Brissett,J.Brissett,0.0,0.0,0.0
00-0033119,J.Brissett,ARI,6,27.0,46.0,320.0,2.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,J.Brissett,J.Brissett,20.8,20.8,20.8
00-0033119,J.Brissett,ARI,7,25.0,42.0,279.0,2.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,J.Brissett,J.Brissett,19.16,19.16,19.16
00-0033119,J.Brissett,ARI,9,21.0,36.0,261.0,2.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,J.Brissett,J.Brissett,18.439999,18.439999,18.439999
00-0033119,J.Brissett,ARI,10,22.0,50.0,258.0,2.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,J.Brissett,J.Brissett,18.32,18.32,18.32
00-0033119,J.Brissett,ARI,11,47.0,58.0,452.0,2.0,2.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,J.Brissett,J.Brissett,26.08,26.08,26.08
00-0033119,J.Brissett,ARI,12,33.0,55.0,317.0,1.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,J.Brissett,J.Brissett,16.68,16.68,16.68
00-0033357,T.Hill,NO,5,1.0,1.0,19.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,T.Hill,T.Hill,0.76,0.76,0.76
00-0033357,T.Hill,NO,9,0.0,1.0,0.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,T.Hill,T.Hill,0.0,0.0,0.0
00-0033357,T.Hill,NO,10,0.0,1.0,0.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,T.Hill,T.Hill,0.0,0.0,0.0
00-0033357,T.Hill,NO,12,0.0,2.0,0.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,T.Hill,T.Hill,0.0,0.0,0.0
00-0033662,C.Rush,BAL,4,9.0,13.0,52.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,C.Rush,C.Rush,2.08,2.08,2.08
00-0033662,C.Rush,BAL,5,14.0,21.0,179.0,0.0,3.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,C.Rush,C.Rush,7.16,7.16,7.16
00-0033662,C.Rush,BAL,6,11.0,19.0,72.0,0.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,C.Rush,C.Rush,2.8799999,2.8799999,2.8799999
00-0033869,M.Trubisky,BUF,2,1.0,2.0,32.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,M.Trubisky,M.Trubisky,1.28,1.28,1.28
00-0033869,M.Trubisky,BUF,8,2.0,4.0,22.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,M.Trubisky,M.Trubisky,0.88,0.88,0.88
00-0033873,P.Mahomes,KC,1,24.0,41.0,258.0,1.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,P.Mahomes,P.Mahomes,14.32,14.32,14.32
00-0033873,P.Mahomes,KC,2,16.0,31.0,187.0,1.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,P.Mahomes,P.Mahomes,11.48,11.48,11.48
00-0033873,P.Mahomes,KC,3,22.0,39.0,224.0,1.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,P.Mahomes,P.Mahomes,12.96,12.96,12.96
00-0033873,P.Mahomes,KC,4,25.0,38.0,270.0,4.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,P.Mahomes,P.Mahomes,26.8,26.8,26.8
00-0033873,P.Mahomes,KC,5,29.0,41.0,318.0,1.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,P.Mahomes,P.Mahomes,16.72,16.72,16.72
