game_id,week,player_id,player_name,assist_tackles,qb_hits,sacks,solo_tackles,tfls,total_tackles
2025_01_CIN_CLE,1,00-0040579,C.Schwesinger,5.0,1.0,0.0,2.0,1.0,4.5
2025_01_CIN_CLE,1,00-0040738,D.Knight,2.0,0.0,0.0,6.0,0.0,7.0
2025_01_DAL_PHI,1,00-0032052,D.Fowler,0.0,1.0,0.0,0.0,0.0,0.0
2025_01_DAL_PHI,1,00-0033077,D.Prescott,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_DAL_PHI,1,00-0033120,K.Clark,1.0,0.0,0.0,2.0,0.0,2.5
2025_01_DAL_PHI,1,00-0033870,S.Thomas,0.0,0.0,0.0,2.0,1.0,2.0
2025_01_DAL_PHI,1,00-0033877,M.Hooker,4.0,0.0,0.0,4.0,0.0,6.0
2025_01_DAL_PHI,1,00-0033878,A.Jackson,1.0,0.0,0.0,5.0,0.0,5.5
2025_01_DAL_PHI,1,00-0035301,D.Wilson,1.0,0.0,0.0,0.0,0.0,0.5
2025_01_DAL_PHI,1,00-0036159,J.Uche,1.0,0.0,0.0,0.0,0.0,0.5
2025_01_DAL_PHI,1,00-0036361,T.Diggs,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_DAL_PHI,1,00-0036418,Z.Baun,1.0,0.0,0.0,6.0,1.0,6.5
2025_01_DAL_PHI,1,00-0036441,K.Murray,1.0,0.0,0.0,4.0,0.0,4.5
2025_01_DAL_PHI,1,00-0036876,K.Granson,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_DAL_PHI,1,00-0036942,O.Odighizuwa,2.0,1.0,0.0,1.0,0.0,2.0
2025_01_DAL_PHI,1,00-0037073,J.Davis,3.0,0.0,0.0,3.0,1.0,4.5
2025_01_DAL_PHI,1,00-0037109,J.Sanborn,2.0,0.0,0.0,1.0,1.0,2.0
2025_01_DAL_PHI,1,00-0037130,R.Blankenship,0.0,0.0,0.0,3.0,0.0,3.0
2025_01_DAL_PHI,1,00-0037242,K.Elam,2.0,0.0,0.0,4.0,0.0,5.0
2025_01_DAL_PHI,1,00-0037275,D.Bland,0.0,0.0,0.0,2.0,0.0,2.0
