game_id,week,player_id,player_name,team,rz_rush_att,rz_rush_tds,rz_rush_yards,rz_targets,rz_receptions,rz_rec_tds,rz_rec_yards,rz_opportunities,rz_total_tds,rz_opportunities_avg,rz_total_tds_avg,rz_rush_att_avg,rz_targets_avg
2025_07_IND_LAC,7,00-0032104,A.Abdullah,IND,0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,2.0,1.0,2.0,0.0
2025_09_JAX_LV,9,00-0032211,T.Lockett,LV,0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2025_03_LV_WAS,3,00-0032268,M.Mariota,WAS,2,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2025_07_WAS_DAL,7,00-0032268,M.Mariota,WAS,1,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0
2025_08_WAS_KC,8,00-0032268,M.Mariota,WAS,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.5,1.5,0.0
2025_10_DET_WAS,10,00-0032268,M.Mariota,WAS,1,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.0
2025_11_WAS_MIA,11,00-0032268,M.Mariota,WAS,1,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.25,0.25,1.25,0.0
2025_03_NYJ_TB,3,00-0032385,S.Shepard,TB,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_05_TB_SEA,5,00-0032385,S.Shepard,TB,0,0.0,0.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,1.0
2025_07_TB_DET,7,00-0032385,S.Shepard,TB,0,0.0,0.0,2.0,2.0,0.0,5.0,2.0,0.0,1.0,0.5,0.0,1.0
2025_08_TB_NO,8,00-0032385,S.Shepard,TB,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.3333333333333333,0.3333333333333333,0.0,1.3333333333333333
2025_11_TB_BUF,11,00-0032385,S.Shepard,TB,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.25,0.25,0.0,1.25
2025_01_LV_NE,1,00-0032392,A.Hooper,NE,0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_07_NE_TEN,7,00-0032392,A.Hooper,NE,0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0
2025_05_WAS_LAC,5,00-0032398,C.Moore,WAS,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_11_WAS_MIA,11,00-0032398,C.Moore,WAS,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2025_04_CLE_DET,4,00-0032464,K.Raymond,DET,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_10_DET_WAS,10,00-0032464,K.Raymond,DET,0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0
