player_id,player_name,team,week,season,game_id,position,passing_yards,passing_tds,completions,attempts,interceptions,rushing_yards,rushing_tds,carries,receiving_yards,receiving_tds,receptions,targets,season_avg_passing_yards,l3_avg_passing_yards,season_avg_passing_tds,l3_avg_passing_tds,season_avg_rushing_yards,l3_avg_rushing_yards,season_avg_rushing_tds,l3_avg_rushing_tds,season_avg_receiving_yards,l3_avg_receiving_yards,season_avg_receiving_tds,l3_avg_receiving_tds,season_avg_receptions,l3_avg_receptions,season_avg_carries,l3_avg_carries,games_played
00-0026498,M.Stafford,LA,2,2025,2025_02_LA_TEN,RB,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.2,21.666666666666668,0.2,0.3333333333333333,2.6,1.0,0.0,0.0,0.6,0.3333333333333333,4.6,6.0,4
00-0026498,M.Stafford,LA,3,2025,2025_03_LA_PHI,QB,196.0,2.0,19.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5
00-0026498,M.Stafford,LA,4,2025,2025_04_IND_LA,QB,375.0,3.0,29.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,121.05,58.0,0.75,0.6666666666666666,7.25,11.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,2.3333333333333335,6
00-0026498,M.Stafford,LA,4,2025,2025_04_IND_LA,RB,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7
00-0026498,M.Stafford,LA,5,2025,2025_05_SF_LA,QB,389.0,3.0,30.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,15.0,0.4,0.3333333333333333,1.8,2.0,0.0,0.0,8
00-0026498,M.Stafford,LA,5,2025,2025_05_SF_LA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.142857142857142,13.666666666666666,0.2857142857142857,0.0,1.7142857142857142,1.6666666666666667,0.0,0.0,9
00-0026498,M.Stafford,LA,6,2025,2025_06_LA_BAL,QB,181.0,1.0,17.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75,72.0,0.75,0.6666666666666666,6.75,6.666666666666667,0.0,0.0,10
00-0026498,M.Stafford,LA,6,2025,2025_06_LA_BAL,RB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.42857142857143,28.0,0.5714285714285714,0.3333333333333333,5.142857142857143,3.0,0.0,0.0,11
00-0026498,M.Stafford,LA,7,2025,2025_07_LA_JAX,QB,182.0,5.0,21.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5,5.5,0.0,0.0,10.5,10.5,0.0,0.0,0.5,0.5,0.5,0.5,12
00-0026498,M.Stafford,LA,7,2025,2025_07_LA_JAX,RB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,50.0,50.0,0.5,0.5,3.0,3.0,6.0,6.0,13
