player_id,player_name,team,opponent,week,season,game_id,position,passing_yards,passing_tds,completions,attempts,interceptions,rushing_yards,rushing_tds,carries,receiving_yards,receiving_tds,receptions,targets,season_avg_passing_yards,l3_avg_passing_yards,season_avg_passing_tds,l3_avg_passing_tds,season_avg_rushing_yards,l3_avg_rushing_yards,season_avg_rushing_tds,l3_avg_rushing_tds,season_avg_receiving_yards,l3_avg_receiving_yards,season_avg_receiving_tds,l3_avg_receiving_tds,season_avg_receptions,l3_avg_receptions,season_avg_carries,l3_avg_carries,season_avg_completions,l3_avg_completions,season_avg_attempts,l3_avg_attempts,season_avg_targets,l3_avg_targets,season_avg_interceptions,l3_avg_interceptions,games_played
00-0029263,R.Wilson,NYG,DAL,2,2025,2025_02_NYG_DAL,QB,450.0,3.0,30.0,44.0,1.0,23.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
00-0029263,R.Wilson,NYG,KC,3,2025,2025_03_KC_NYG,QB,160.0,0.0,18.0,34.0,2.0,27.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.25,3.0,0.0,0.0,11.75,16.333333333333332,0.0,0.0,2.0,2.3333333333333335,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,2.25,2.6666666666666665,0.0,0.0,3
00-0029263,R.Wilson,NYG,LAC,4,2025,2025_04_LAC_NYG,QB,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,265.55555555555554,299.0,2.0,2.6666666666666665,33.888888888888886,50.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.222222222222222,7.333333333333333,24.444444444444443,24.666666666666668,39.22222222222222,40.0,0.0,0.0,0.8888888888888888,1.3333333333333333,4
00-0029263,R.Wilson,NYG,PHI,6,2025,2025_06_PHI_NYG,QB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.333333333333333,6.333333333333333,0.0,0.0,43.0,43.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,2.6666666666666665,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5
00-0029263,R.Wilson,NYG,CHI,10,2025,2025_10_NYG_CHI,QB,45.0,0.0,3.0,9.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,16.0,0.4,0.6666666666666666,1.4,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0,0.0,0.0,6
00-0029604,K.Cousins,ATL,CAR,3,2025,2025_03_ATL_CAR,QB,29.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.25,59.0,0.75,0.6666666666666666,17.5,15.333333333333334,0.0,0.0,3.5,3.3333333333333335,19.25,19.666666666666668,0.0,0.0,0.0,0.0,4.0,3.6666666666666665,0.0,0.0,1
00-0029604,K.Cousins,ATL,MIA,8,2025,2025_08_MIA_ATL,QB,173.0,0.0,21.0,32.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,42.5,42.5,0.0,0.0,56.0,56.0,1.0,1.0,5.5,5.5,9.0,9.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,2
00-0029604,K.Cousins,ATL,CAR,11,2025,2025_11_CAR_ATL,QB,48.0,0.0,6.0,14.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,57.333333333333336,73.0,0.6666666666666666,0.6666666666666666,10.166666666666666,18.666666666666668,0.0,0.0,1.0,1.6666666666666667,10.0,12.666666666666666,0.0,0.0,0.0,0.0,1.3333333333333333,1.6666666666666667,0.0,0.0,3
00-0029892,K.Juszczyk,SF,SEA,1,2025,2025_01_SF_SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.625,22.333333333333332,0.5,0.3333333333333333,3.125,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,4.625,3.0,0.0,0.0,1
00-0029892,K.Juszczyk,SF,NO,2,2025,2025_02_SF_NO,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.5,0.5,0.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,2
