"season","season_type","week","player_display_name","player_position","team_abbr","avg_cushion","avg_separation","avg_intended_air_yards","percent_share_of_intended_air_yards","receptions","targets","catch_percentage","yards","rec_touchdowns","avg_yac","avg_expected_yac","avg_yac_above_expectation","player_gsis_id","player_first_name","player_last_name","player_jersey_number","player_short_name"
2024,"REG",12,"Tyler Boyd","WR","TEN",7.94666666666667,5.53597888613383,3.125,9.05097509171655,6,6,100,55,0,6.04166666666667,8.21401931257227,-2.1723526459056,"00-0033009","Tyler","Boyd",83,"T.Boyd"
2024,"REG",12,"Xavier Worthy","WR","KC",7.90666666666667,3.08313440094799,10.19,27.1492007104796,4,6,66.6666666666667,46,0,2.655,2.34195894259749,0.313041057402513,"00-0039894","Xavier","Worthy",1,"X.Worthy"
2024,"REG",12,"Jameson Williams","WR","DET",7.89285714285714,3.44562308558149,9.28571428571429,33.4052831740158,5,7,71.4285714285714,64,0,5.72,4.95412714362456,0.765872856375443,"00-0037240","Jameson","Williams",9,"J.Williams"
2024,"REG",12,"Josh Palmer","WR","LAC",7.85375,1.36280519873942,24.315,55.3242320819113,3,8,37.5,38,0,0.576666666666663,0.784061780372065,-0.207395113705402,"00-0036988","Josh","Palmer",5,"J.Palmer"
2024,"REG",12,"Noah Brown","WR","WAS",7.772,2.07143414403071,11.434,33.6393056781406,6,10,60,71,0,3.485,2.13452787876812,1.35047212123188,"00-0033591","Noah","Brown",85,"N.Brown"
2024,"REG",12,"Demario Douglas","WR","NE",7.61142857142857,4.35532607397134,3.85857142857143,9.31700586409106,5,7,71.4285714285714,62,0,9.722,5.78995776015427,3.93204223984574,"00-0038621","Demario","Douglas",3,"D.Douglas"
2024,"REG",12,"Jordan Addison","WR","MIN",7.49111111111111,2.73652502487891,11.0977777777778,37.9627518053972,8,9,88.8888888888889,162,1,7.8425,2.36173911516414,5.48076088483586,"00-0038994","Jordan","Addison",3,"J.Addison"
2024,"REG",12,"Zach Ertz","TE","WAS",7.442,3.83583281395285,8.58625,20.2088849661665,6,8,75,38,1,0.833333333333333,1.18998994409991,-0.356656610766578,"00-0030061","Zachary","Ertz",86,"Z.Ertz"
2024,"REG",12,"Hunter Henry","TE","NE",7.37625,2.95917235242271,8.52125,23.515005174198,5,8,62.5,44,0,3.436,3.02063011429655,0.415369885703457,"00-0033090","Hunter","Henry",85,"H.Henry"
2024,"REG",12,"Jakobi Meyers","WR","LV",7.36533333333333,2.70785998177658,8.614,49.0248899681287,10,15,66.6666666666667,121,0,3.58,3.79811366448341,-0.218113664483406,"00-0034960","Jakobi","Meyers",16,"J.Meyers"
