game_id,week,home_team,away_team,home_q1,away_q1,home_q2,away_q2,home_q3,away_q3,home_q4,away_q4,home_total,away_total,total_points,season,game_type,home_score,away_score,home_rest,away_rest,div_game,spread_line,total_line,roof,q1_total,q1_spread,q1_home_won,h1_total,h1_spread,h1_home_won,h2_total,h2_spread,overtime,has_2pt_conversion
2025_02_SF_NO,2,NO,SF,0,6,7,10,7,3,7,7,21,26,47,2025,REG,21,26,7,7,False,0.0,45.64024390243903,outdoors,6,-6,0,23,-9,0,24,4,0,0
2025_02_TB_HOU,2,HOU,TB,10,7,0,7,0,0,9,6,19,20,39,2025,REG,19,20,7,7,False,0.0,45.64024390243903,outdoors,17,3,1,24,-4,0,15,3,0,0
2025_02_WAS_GB,2,GB,WAS,7,0,7,3,3,0,10,13,27,16,43,2025,REG,27,16,7,7,False,0.0,45.64024390243903,outdoors,7,7,1,17,11,1,26,0,0,0
2025_03_ARI_SF,3,SF,ARI,0,0,6,3,0,3,10,7,16,13,29,2025,REG,16,13,7,7,False,0.0,45.64024390243903,outdoors,0,0,0,9,3,1,20,0,0,0
2025_03_ATL_CAR,3,CAR,ATL,7,0,3,0,4,6,10,0,24,6,30,2025,REG,24,6,7,7,False,0.0,45.64024390243903,outdoors,7,7,1,10,10,1,20,8,0,0
2025_03_CIN_MIN,3,MIN,CIN,8,6,14,9,14,0,0,7,36,22,58,2025,REG,36,22,7,7,False,0.0,45.64024390243903,outdoors,14,2,1,37,7,1,21,7,0,0
2025_03_DAL_CHI,3,CHI,DAL,14,3,10,9,7,0,0,0,31,12,43,2025,REG,31,12,7,7,False,0.0,45.64024390243903,outdoors,17,11,1,36,12,1,7,7,0,0
2025_03_DEN_LAC,3,LAC,DEN,3,0,7,7,3,10,10,3,23,20,43,2025,REG,23,20,7,7,False,0.0,45.64024390243903,outdoors,3,3,1,17,3,1,26,0,0,0
2025_03_DET_BAL,3,BAL,DET,7,7,7,7,7,7,9,17,30,38,68,2025,REG,30,38,7,7,False,0.0,45.64024390243903,outdoors,14,0,0,28,0,0,40,-8,0,0
2025_03_GB_CLE,3,CLE,GB,0,0,0,3,0,7,13,0,13,10,23,2025,REG,13,10,7,7,False,0.0,45.64024390243903,outdoors,0,0,0,3,-3,0,20,6,0,0
2025_03_HOU_JAX,3,JAX,HOU,7,0,0,3,3,0,7,7,17,10,27,2025,REG,17,10,7,7,False,0.0,45.64024390243903,outdoors,7,7,1,10,4,1,17,3,0,0
2025_03_IND_TEN,3,TEN,IND,9,11,3,3,7,14,7,7,26,35,61,2025,REG,26,35,7,7,False,0.0,45.64024390243903,outdoors,20,-2,0,26,-2,0,35,-7,0,0
2025_03_KC_NYG,3,NYG,KC,0,3,6,6,0,7,3,6,9,22,31,2025,REG,9,22,7,7,False,0.0,45.64024390243903,outdoors,3,-3,0,15,-3,0,16,-10,0,0
2025_03_LA_PHI,3,PHI,LA,7,10,0,9,14,7,6,6,27,32,59,2025,REG,27,32,7,7,False,0.0,45.64024390243903,outdoors,17,-3,0,26,-12,0,33,7,0,0
2025_03_LV_WAS,3,WAS,LV,7,3,13,7,8,6,7,12,35,28,63,2025,REG,35,28,7,7,False,0.0,45.64024390243903,outdoors,10,4,1,30,10,1,33,-3,0,0
2025_03_MIA_BUF,3,BUF,MIA,7,7,7,7,7,0,10,7,31,21,52,2025,REG,31,21,7,7,False,0.0,45.64024390243903,outdoors,14,0,0,28,0,0,24,10,0,0
2025_03_NO_SEA,3,SEA,NO,15,6,17,6,6,0,0,7,38,19,57,2025,REG,38,19,7,7,False,0.0,45.64024390243903,outdoors,21,9,1,44,20,1,13,-1,0,0
