season,week,team,position,full_name,gsis_id,report_status,report_primary_injury,practice_status,player,injury_status
2020.0,1.0,NE,CB,Stephon Gilmore,00-0029542,,,Limited Participation in Practice,Stephon Gilmore,
2020.0,1.0,NE,T,Yodny Cajuste,00-0035252,Out,Knee,Did Not Participate In Practice,Yodny Cajuste,OUT
2020.0,1.0,NE,WR,Gunner Olszewski,00-0035645,Out,Foot,Did Not Participate In Practice,Gunner Olszewski,OUT
2020.0,1.0,NE,WR,N'Keal Harry,00-0035624,Questionable,Shoulder,Full Participation in Practice,N'Keal Harry,QUESTIONABLE
2020.0,1.0,NE,DE,Chase Winovich,00-0035654,Questionable,Shoulder,Full Participation in Practice,Chase Winovich,QUESTIONABLE
2020.0,1.0,NE,CB,Jonathan Jones,00-0032580,Questionable,Foot,Limited Participation in Practice,Jonathan Jones,QUESTIONABLE
2020.0,1.0,NE,TE,Dalton Keene,00-0036225,Questionable,Neck,Limited Participation in Practice,Dalton Keene,QUESTIONABLE
2020.0,1.0,NE,LB,Cassh Maluia,00-0036164,Questionable,Knee,Limited Participation in Practice,Cassh Maluia,QUESTIONABLE
2020.0,1.0,NO,P,Blake Gillikin,00-0035859,,,Did Not Participate In Practice,Blake Gillikin,
2020.0,1.0,NO,DE,Marcus Davenport,00-0034344,Out,Elbow,Did Not Participate In Practice,Marcus Davenport,OUT
2020.0,1.0,NO,C,Cesar Ruiz,00-0036408,Out,Ankle,Did Not Participate In Practice,Cesar Ruiz,OUT
2020.0,1.0,NO,CB,P.J. Williams,00-0032059,Questionable,Hamstring,Limited Participation in Practice,P.J. Williams,QUESTIONABLE
2020.0,1.0,NYG,S,Adrian Colbert,00-0033302,,,Full Participation in Practice,Adrian Colbert,
2020.0,1.0,NYG,DE,Markus Golden,00-0032127,,,Full Participation in Practice,Markus Golden,
2020.0,1.0,NYG,LB,Tae Crowder,00-0036167,Questionable,Hamstring,Limited Participation in Practice,Tae Crowder,QUESTIONABLE
